Timestamp,Class,Confidence Score,FPS,Error,Delta Error
42,track,"tensor([0.9376], device='cuda:0')",2.40,6.54,-15.6
43,track,"tensor([0.9447], device='cuda:0')",3.00,2.12,-4.42
43,track,"tensor([0.9540], device='cuda:0')",3.35,-10.73,-12.85
43,track,"tensor([0.8710], device='cuda:0')",3.20,-17.94,-7.21
44,track,"tensor([0.9350], device='cuda:0')",3.45,-21.61,-3.67
44,track,"tensor([0.9261], device='cuda:0')",2.74,-27.52,-5.91
44,track,"tensor([0.9418], device='cuda:0')",2.89,-26.09,1.43
45,track,"tensor([0.9602], device='cuda:0')",3.42,-26.29,-0.2
45,track,"tensor([0.9384], device='cuda:0')",3.39,-25.5,0.79
45,track,"tensor([0.9492], device='cuda:0')",2.52,-18.56,6.94
46,track,"tensor([0.9282], device='cuda:0')",3.37,-11.77,6.79
46,track,"tensor([0.7932], device='cuda:0')",3.11,-1.14,10.63
46,track,"tensor([0.8186], device='cuda:0')",3.29,10.89,12.03
47,track,"tensor([0.8799], device='cuda:0')",3.21,21.65,10.76
47,track,"tensor([0.6281], device='cuda:0')",3.43,18.14,-3.51
47,track,"tensor([0.8030], device='cuda:0')",1.94,27.21,9.07
48,track,"tensor([0.9045], device='cuda:0')",3.37,26.87,-0.34
48,track,"tensor([0.9063], device='cuda:0')",4.15,25.99,-0.88
48,track,"tensor([0.9005], device='cuda:0')",3.58,21.95,-4.04
49,track,"tensor([0.9142], device='cuda:0')",3.72,21.92,-0.03
49,track,"tensor([0.8849], device='cuda:0')",2.96,17.81,-4.11
49,track,"tensor([0.8926], device='cuda:0')",4.37,6.67,-11.14
49,track,"tensor([0.8739], device='cuda:0')",2.93,2.67,-4.0
50,track,"tensor([0.8827], device='cuda:0')",3.19,4.45,1.78
50,track,"tensor([0.8934], device='cuda:0')",2.71,0.2,-4.25
50,track,"tensor([0.9007], device='cuda:0')",3.97,-0.95,-1.15
51,track,"tensor([0.8899], device='cuda:0')",3.52,-2.66,-1.71
51,track,"tensor([0.9166], device='cuda:0')",3.45,-0.18,2.48
51,track,"tensor([0.8855], device='cuda:0')",3.10,14.42,14.6
52,track,"tensor([0.6986], device='cuda:0')",3.01,6.35,-8.07
52,track,"tensor([0.6740], device='cuda:0')",3.22,8.01,1.66
52,track,"tensor([0.8666], device='cuda:0')",3.26,12.77,4.76
52,track,"tensor([0.8122], device='cuda:0')",3.57,18.87,6.1
53,track,"tensor([0.8038], device='cuda:0')",2.98,37.12,18.25
53,track,"tensor([0.7979], device='cuda:0')",3.37,47.23,10.11
53,track,"tensor([0.8148], device='cuda:0')",3.24,53.67,6.44
54,track,"tensor([0.7201], device='cuda:0')",3.73,66.65,12.98
54,track,"tensor([0.7717], device='cuda:0')",2.81,66.97,0.32
54,track,"tensor([0.7448], device='cuda:0')",2.74,65.65,-1.32
55,track,"tensor([0.8258], device='cuda:0')",3.75,62.47,-3.18
55,track,"tensor([0.8711], device='cuda:0')",4.12,60.33,-2.14
55,track,"tensor([0.9110], device='cuda:0')",4.03,59.31,-1.02
55,track,"tensor([0.8189], device='cuda:0')",3.42,50.68,-8.63
56,track,"tensor([0.8332], device='cuda:0')",4.06,43.85,-6.83
56,track,"tensor([0.8353], device='cuda:0')",3.66,38.1,-5.75
56,track,"tensor([0.8757], device='cuda:0')",4.01,38.14,0.04
56,track,"tensor([0.9456], device='cuda:0')",3.27,33.04,-5.1
57,track,"tensor([0.9127], device='cuda:0')",2.77,33.76,0.72
57,track,"tensor([0.9272], device='cuda:0')",3.18,27.07,-6.69
57,track,"tensor([0.9253], device='cuda:0')",3.34,27.23,0.16
58,track,"tensor([0.9044], device='cuda:0')",3.24,29.05,1.82
